Date,City,Latitude,Longitude,Humidity,Cloudiness,Wind Speed,Max Temp
1653636131,Akureyri,65.6835,-18.0878,93,100,2.06,278.11
1653635462,Cidreira,-30.1811,-50.2056,93,40,4.76,290.66
1653635462,Atuona,-9.8,-139.0333,78,15,7.54,298.98
1653635678,Vostok,46.4856,135.8833,60,100,3.68,289.22
1653636075,Nuuk,64.1835,-51.7216,86,100,4.63,272.49
1653635890,Hobart,-42.8794,147.3294,83,40,5.14,285.07
1653635841,Albany,42.6001,-73.9662,80,100,2.4,291.89
1653636132,Castro,-24.7911,-50.0119,85,100,1.57,284.79
1653636133,Saint Paul Harbor,57.79,-152.4072,58,0,2.06,284.88
1653636133,Tateyama,34.9833,139.8667,87,100,7.33,294.73
1653636133,Severo-Kuril'sk,50.6789,156.125,88,67,1.13,278.79
1653636134,Hilo,19.7297,-155.09,82,100,0.89,298.31
1653636134,Tuktoyaktuk,69.4541,-133.0374,94,100,3.55,273.45
1653635897,Ancud,-41.8697,-73.8203,81,22,1.59,278.65
1653636135,Busselton,-33.65,115.3333,44,95,1.42,294.1
1653636135,Big Bend,-26.8167,31.9333,94,98,0.51,292.2
1653636136,Bluff,-46.6,168.3333,80,0,3.45,278.6
1653636136,Mar del Plata,-38.0023,-57.5575,75,100,0.89,282.09
1653636136,Yulara,-25.2406,130.9889,32,42,1.17,297.18
1653636137,Rikitea,-23.1203,-134.9692,78,38,6.06,297.85
1653636137,Kysyl-Syr,63.8986,122.7617,38,99,4.08,284.52
1653636138,Katsuura,35.1333,140.3,84,100,7.03,295.23
1653636138,Turukhansk,65.8167,87.9833,27,7,4.14,287.86
1653636138,Kamyshin,50.0983,45.416,53,11,8.05,291.77
1653636139,Kasempa,-13.4584,25.8338,38,0,2.63,292.88
1653635682,Perth,-31.9333,115.8333,38,0,4.12,298.9
1653636139,Okhotsk,59.3833,143.3,85,84,3.25,277.98
1653635958,Ushuaia,-54.8,-68.3,87,75,14.4,274.96
1653636140,Longyearbyen,78.2186,15.6401,71,75,3.09,281.06
1653636140,Muros,42.7762,-9.0603,64,68,3.37,292.68
1653636140,Havelock,34.8791,-76.9013,94,0,2.57,298.14
1653636141,Tasiilaq,65.6145,-37.6368,72,10,2.03,275.24
1653636141,Aklavik,68.2191,-135.0107,95,100,5.0,276.83
1653636142,Sioux Lookout,50.1001,-91.917,100,20,1.03,278.19
1653636142,Luzhou,28.8724,105.4405,96,100,1.95,293.65
1653636142,Takoradze,4.8845,-1.7554,88,100,0.85,297.96
1653636143,Kibaya,-5.3,36.5667,71,93,2.8,291.7
1653636143,Souillac,-20.5167,57.5167,69,20,3.6,299.36
1653636143,Bredasdorp,-34.5322,20.0403,82,51,1.71,286.14
1653636144,Yangi Marg`ilon,40.4272,71.7189,28,17,5.14,301.55
1653636144,Pangnirtung,66.1451,-65.7125,91,100,3.24,261.3
1653636145,Saint Anthony,45.0205,-93.218,92,0,2.06,282.82
1653636145,Mossamedes,-15.1961,12.1522,73,0,1.84,293.62
1653636146,Chokurdakh,70.6333,147.9167,64,48,4.44,273.62
1653636146,São Filipe,14.8961,-24.4956,81,7,3.95,294.88
1653636146,Puerto Ayora,-0.7393,-90.3518,92,5,3.23,292.9
1653636147,Bagumbong,6.9015,124.517,77,100,1.04,301.63
1653636147,Pisco,-13.7,-76.2167,82,100,1.54,289.18
1653636148,Port Alfred,-33.5906,26.891,94,5,2.05,287.69
1653636148,Verāval,20.9,70.3667,71,9,7.94,303.32
1653636148,Alta Floresta,-9.8756,-56.0861,76,92,1.55,292.09
1653636149,Kapaa,22.0752,-159.319,68,0,6.69,297.14
1653636149,Safi,32.2994,-9.2372,57,1,1.18,294.55
1653636150,Narsaq,60.9167,-46.05,99,100,0.87,277.27
1653635705,Cape Town,-33.9258,18.4232,86,0,0.51,289.47
1653636150,Viedma,-40.8135,-62.9967,77,1,3.72,276.81
1653636150,Isangel,-19.55,169.2667,82,53,2.54,297.86
1653636151,Verkhnevilyuysk,63.4453,120.3167,36,100,3.49,283.97
1653636151,Vaini,-21.2,-175.2,94,75,1.54,298.24
1653636152,Popondetta,-8.7537,148.2534,83,16,1.25,299.66
1653636152,Tucumã,-0.1833,-50.05,94,22,1.32,296.33
1653636152,Khandyga,62.6667,135.6,57,100,1.75,283.96
1653636004,Kiryat Gat,31.61,34.7642,35,7,4.1,306.15
1653636153,Mayo,38.8876,-76.5119,92,100,3.09,293.55
1653636153,Muyezerskiy,63.9333,31.65,84,99,3.54,280.99
1653636153,Shimoda,34.6667,138.95,77,100,4.65,297.35
1653636154,Hithadhoo,-0.6,73.0833,71,4,5.07,302.04
1653636154,Los Algarrobos,8.5,-82.4333,96,100,0.85,296.06
1653636154,Havre-St-Pierre,50.2334,-63.5986,93,100,3.6,280.35
1653636155,Ostrovnoy,68.0531,39.5131,97,100,10.92,276.6
